indx	agente	amante	artista	astronauta	atleta	erede	insegnante	interprete	ospite	sentinella	spia	utente	vittima
1	L'agente sorride mentre saluta.	L'amante scrive una lettera appassionata.	L'artista dipinge un paesaggio.	L'astronauta fluttua nello spazio.	L'atleta sta correndo sulla pista.	L'erede sta studiando il testamento.	L'insegnante spiega una lezione di matematica.	L'interprete sta traducendo un discorso in tempo reale.	L'ospite sta dando il benvenuto agli altri.	La sentinella sta pattugliando il perimetro.	La spia sta consegnando informazioni riservate.	L'utente sta navigando su internet.	La vittima sta chiamando la polizia.
2	L'agente guida la macchina della polizia.	L'amante abbraccia il suo amato con affetto.	L'artista suona il pianoforte in concerto.	L'astronauta osserva la Terra dal modulo spaziale.	L'atleta sta saltando nell'arena.	L'erede sta gestendo gli affari di famiglia.	L'insegnante corregge i compiti degli studenti.	L'interprete sta interpretando per un cliente durante una riunione d'affari.	L'ospite sta preparando la cena per i suoi invitati.	La sentinella sta osservando attentamente l'orizzonte.	La spia sta fotografando documenti segreti.	L'utente sta scrivendo un'e-mail.	La vittima sta raccontando la sua storia agli investigatori.
3	L'agente aiuta un anziano a attraversare la strada.	L'amante pianifica una sorpresa romantica.	L'artista modella un'opera d'argilla.	L'astronauta indossa la tuta spaziale per la passeggiata extraveicolare.	L'atleta sta lanciando il peso.	L'erede sta apprendendo le responsabilità ereditarie.	L'insegnante assegna un nuovo compito.	L'interprete sta traducendo un documento ufficiale.	L'ospite sta mostrando la sua casa ai nuovi arrivati.	La sentinella sta controllando le credenziali dei visitatori.	La spia sta infiltrandosi in una organizzazione criminale.	L'utente sta leggendo un articolo online.	La vittima sta piangendo per il dolore.
4	L'agente scrive una multa per eccesso di velocità.	L'amante invia un messaggio d'amore.	L'artista scrive una nuova canzone.	L'astronauta controlla i sistemi di navigazione della navicella.	L'atleta sta nuotando in piscina.	L'erede sta consultando un avvocato per questioni legali.	L'insegnante controlla la presenza degli studenti.	L'interprete sta spiegando il significato di una parola in una lingua straniera.	L'ospite sta offrendo da bere agli amici.	La sentinella sta segnalando movimenti sospetti.	La spia sta intercettando conversazioni telefoniche.	L'utente sta guardando un video su YouTube.	La vittima sta ricevendo cure mediche all'ospedale.
5	L'agente controlla i documenti dell'automobilista.	L'amante prepara una cena romantica a lume di candela.	L'artista balla sul palco con grazia.	L'astronauta esegue esperimenti scientifici in microgravità.	L'atleta sta sollevando pesi in palestra.	L'erede sta organizzando una riunione con gli altri eredi.	L'insegnante scrive alla lavagna.	L'interprete sta assistendo un turista con la comunicazione in una lingua straniera.	L'ospite sta sistemando le camere per i suoi ospiti.	La sentinella sta comunicando con la base tramite radio.	La spia sta decodificando messaggi cifrati.	L'utente sta facendo una ricerca su Google.	La vittima sta identificando il colpevole attraverso una foto.
6	L'agente indossa l'uniforme con orgoglio.	L'amante regala un mazzo di fiori profumati.	L'artista incide un disegno su legno.	L'astronauta si allena sulla cyclette per mantenere la forma fisica.	L'atleta sta tirando con l'arco.	L'erede sta esaminando l'inventario dell'eredità.	L'insegnante legge una storia ai suoi alunni.	L'interprete sta traducendo le istruzioni durante una conferenza.	L'ospite sta condividendo storie divertenti con gli altri.	La sentinella sta mantenendo la postura di guardia.	La spia sta passando informazioni a un agente segreto.	L'utente sta chattando con un amico su WhatsApp.	La vittima sta cercando aiuto dai vicini.
7	L'agente arresta un ladro.	L'amante canta una canzone d'amore sotto le stelle.	L'artista recita una parte in un film.	L'astronauta fotografa le stelle con la fotocamera spaziale.	L'atleta sta lanciando il disco.	L'erede sta prendendo decisioni finanziarie per il patrimonio.	L'insegnante distribuisce il materiale didattico.	L'interprete sta interpretando durante un colloquio di lavoro.	L'ospite sta cucinando un pasto delizioso per tutti.	La sentinella sta effettuando controlli di sicurezza.	La spia sta piazzando microspie in luoghi sensibili.	L'utente sta facendo una telefonata.	La vittima sta scrivendo una testimonianza per il tribunale.
8	L'agente parla al telefono con il suo collega.	L'amante scrive un poema per il suo amato.	L'artista intaglia una scultura da un blocco di marmo.	L'astronauta mangia un pasto disidratato nello spazio.	L'atleta sta pedalando sulla bicicletta.	L'erede sta affrontando le sfide di una successione complicata.	L'insegnante prepara una presentazione per la classe.	L'interprete sta traducendo le domande di un intervistatore.	L'ospite sta chiacchierando con gli invitati per farli sentire a proprio agio.	La sentinella sta verificando l'identità delle persone in avvicinamento.	La spia sta camuffandosi per non essere riconosciuta.	L'utente sta giocando a un videogioco.	La vittima sta recuperando gli oggetti rubati.
9	L'agente ispeziona il veicolo coinvolto in un incidente.	L'amante sorride dolcemente al suo compagno.	L'artista disegna un ritratto a matita.	L'astronauta registra un messaggio video per la Terra.	L'atleta sta scalando una parete rocciosa.	L'erede sta discutendo con i membri della famiglia sull'eredità.	L'insegnante risponde alle domande degli studenti.	L'interprete sta facilitando la comunicazione tra persone che parlano lingue diverse.	L'ospite sta preparando un tavolo elegante per la cena.	La sentinella sta illuminando l'area circostante con una torcia.	La spia sta sorvegliando un obiettivo.	L'utente sta guardando una serie TV su una piattaforma di streaming.	La vittima sta ricordando i dettagli dell'aggressione.
10	L'agente regola il traffico durante l'ora di punta.	L'amante bacia teneramente il suo partner.	L'artista compone una sinfonia per un'orchestra.	L'astronauta ripara un guasto nel modulo spaziale.	L'atleta sta colpendo una palla da tennis.	L'erede sta valutando le proprietà e gli investimenti ereditati.	L'insegnante mostra un esempio pratico.	L'interprete sta interpretando per un paziente in un ospedale.	L'ospite sta mostrando il giardino ai suoi ospiti.	La sentinella sta sorvegliando il confine.	La spia sta utilizzando una falsa identità.	L'utente sta ascoltando musica su Spotify.	La vittima sta chiedendo assistenza legale.